time,temperature,humidity,measured_mass,initial_mass,equilibrium_mass
5.666666666666667,10,65,12.849,48.392,1.444
5.666666666666667,10,85,31.205,50.55,1.865
5.666666666666667,22,65,0.577,50.181,1.54
5.666666666666667,22,85,16.542,51.473,2.492
5.666666666666667,27,85,6.178,49.625,2.047
5.75,10,65,11.75,48.392,1.444
5.75,10,85,31.25,50.55,1.865
5.75,22,65,0.419,50.181,1.54
5.75,22,85,16.028,51.473,2.492
5.75,27,85,5.625,49.625,2.047
5.833333333333333,10,65,11.44,48.392,1.444
5.833333333333333,10,85,30.921,50.55,1.865
5.833333333333333,22,65,0.203,50.181,1.54
5.833333333333333,22,85,16.102,51.473,2.492
5.833333333333333,27,85,5.369,49.625,2.047
5.916666666666667,10,65,11.014,48.392,1.444
5.916666666666667,10,85,31.137,50.55,1.865
5.916666666666667,22,85,15.667,51.473,2.492
5.916666666666667,27,85,4.756,49.625,2.047
6,10,65,11.775,48.392,1.444
6,10,85,30.933,50.55,1.865
6,22,85,14.972,51.473,2.492
6,27,85,4.974,49.625,2.047
6.083333333333333,10,65,10.587,48.392,1.444
6.083333333333333,10,85,30.957,50.55,1.865
6.083333333333333,22,85,15.267,51.473,2.492
6.083333333333333,27,85,4.474,49.625,2.047
6.166666666666667,10,65,9.991,48.392,1.444
6.166666666666667,10,85,30.82,50.55,1.865
6.166666666666667,22,85,15.361,51.473,2.492
6.166666666666667,27,85,3.872,49.625,2.047
6.25,10,65,9.425,48.392,1.444
6.25,10,85,29.157,50.55,1.865
6.25,22,85,14.341,51.473,2.492
6.25,27,85,3.351,49.625,2.047
6.333333333333333,10,65,9.405,48.392,1.444
6.333333333333333,10,85,29.959,50.55,1.865
6.333333333333333,22,85,13.733,51.473,2.492
6.333333333333333,27,85,3.513,49.625,2.047
6.416666666666667,10,65,8.934,48.392,1.444
6.416666666666667,10,85,29.347,50.55,1.865
6.416666666666667,22,85,13.934,51.473,2.492
6.416666666666667,27,85,3.206,49.625,2.047
6.5,10,65,8.933,48.392,1.444
6.5,10,85,28.691,50.55,1.865
6.5,22,85,12.342,51.473,2.492
6.5,27,85,3.029,49.625,2.047
6.583333333333333,10,65,8.411,48.392,1.444
6.583333333333333,10,85,29.214,50.55,1.865
6.583333333333333,22,85,13.007,51.473,2.492
6.583333333333333,27,85,2.744,49.625,2.047
6.666666666666667,10,65,8.753,48.392,1.444
6.666666666666667,10,85,28.915,50.55,1.865
6.666666666666667,22,85,12.328,51.473,2.492
6.666666666666667,27,85,2.526,49.625,2.047
6.75,10,65,8.05,48.392,1.444
6.75,10,85,28.412,50.55,1.865
6.75,22,85,12.471,51.473,2.492
6.75,27,85,1.988,49.625,2.047
6.833333333333333,10,65,7.549,48.392,1.444
6.833333333333333,10,85,28.09,50.55,1.865
6.833333333333333,22,85,11.456,51.473,2.492
6.833333333333333,27,85,0.492,49.625,2.047
6.916666666666667,10,65,7.572,48.392,1.444
6.916666666666667,10,85,28.899,50.55,1.865
6.916666666666667,22,85,11.023,51.473,2.492
6.916666666666667,27,85,1.759,49.625,2.047
7,10,65,7.082,48.392,1.444
7,10,85,28.211,50.55,1.865
7,22,85,11.318,51.473,2.492
7,27,85,2.097,49.625,2.047
7.083333333333333,10,65,6.869,48.392,1.444
7.083333333333333,10,85,27.473,50.55,1.865
7.083333333333333,22,85,11.046,51.473,2.492
7.083333333333333,27,85,1.92,49.625,2.047
7.166666666666667,10,65,5.8,48.392,1.444
7.166666666666667,10,85,27.357,50.55,1.865
